日;ri4;soleil/jour
月;yue4;lune/mois
年;nian2;an/annee
岁;sui4;an
周;zhou1;semaine
末;mo4;fin
点;dian3;heure/point
半;ban4;demi/moitie
王;wang2;roi/chef
国;guo2;pays
中国;zhong1guo2;chine
玉;yu4;jade
日本;ri4ben3;japon
法国;fa3guo2;france
英国;ying1guo2;angleterre
马;ma3;cheval
大;da4;grand
小;xiao3;petit
人;ren2;homme/humain
很;hen3;tres
美;mei3;beau
好;hao3;bon/bien/tres/bravo
是;shi4;etre
太;tai4;trop
不;bu4;pas
吗;ma;question;particule de question: a la fin de la phrase
呢;ne;question;renvoyer une question: a la fin de la phrase
也;ye3;aussi/egalement
我;wo3;je/moi
你;ni3;tu/toi
您;nin2;vous;vous de politesse. Ne va pas avec 们!
他;ta1;il/lui
她;ta1;elle/
我们;wo3men;nous
你们;ni3men;vous;pluriel
说;shuo1;parler/dire
话;hua4;parole/langue
语;yu3;language/langue
汉语;han4yu3;mandarin
英语;ri4yu3;japonais
学;xue2;apprendre/etudier
都;dou1;tous;devant les verbes
学生;xue2sheng1;camarade/eleve
外;wai4;exterieur;a l'exterieur de. eg: 外国
在;zai4;se situer/se trouver/etre la;
朋友;peng2you3;amis
男朋友;nan2peng2you3;petit ami
奴朋友;nu3peng2you3;petite amie
去;qu4;aller
哪;na3;quel
认识;ren4shi2;connaitre
家;jia1;maison/famille
爸爸;ba4ba;papa
妈妈;ma1ma;maman
哥哥;ge1ge;grand frere
弟弟;di4di;petit frere
姐姐;jie3jie;grande soeur
妹妹;mei4mei;petite soeur
爱;ai4;aimer
谢谢;xie4xie;merci
不谢;bu4xie4;de rien
吃;chi1;manger
喝;he1;boire
茶;cha1;the
酒;jiu3;vin
电脑;dian4nao3;ordinateur/ordi
手机;shou3ji1;telephone/tel
多少;duo1shao3;combien
几;ji3;combien
高兴;gao1xing4;content/etre content
有;you3;avoir
工作;gong1zuo4;travail
回;hui4;rentrer
知道;zhi1dao4;savoir/connaitre
叫;jiao4;appeler/s appeler
看;kan4;regarder/lire
来;lai2;venir
钱;qian2;argent/sous
请;qing3;inviter/je vous prie
时候;shi2hou4;moment
过去;guo4qu4;dans le temps/avant
怎么;zen3me;comment
今天;jin1tian1;aujourdhui/au jour daujourdhui
明天;ming2tian1;demain
昨天;zuo2tian1;hier
病;bing4;malade
早;zao3;tot
晚;wan3;tard
